Dec,BIN,Rsense Value
1,0b1,479.755
2,0b10,1439.46
3,0b11,359.8284363
4,0b100,1080.02
5,0b101,332.19214
6,0b110,617.0501807
7,0b111,269.904733
8,0b1000,810.808
9,0b1001,301.4104635
10,0b1010,518.6607478
11,0b1011,249.2249222
12,0b1100,463.1245445
13,0b1101,235.6465544
14,0b1110,350.3913972
15,0b1111,202.4968431
16,0b10000,606.706
17,0b10001,267.9067514
18,0b10010,426.8123988
19,0b10011,225.8689014
20,0b10100,388.4772121
21,0b10101,214.6590305
22,0b10110,305.9171858
23,0b10111,186.8022085
24,0b11000,347.0315485
25,0b11001,201.370137
26,0b11010,279.6195891
27,0b11011,176.657078
28,0b11100,262.6401362
29,0b11101,169.7248707
30,0b11110,222.1138242
31,0b11111,151.8235517
32,0b100000,454.675
33,0b100001,233.4392139
34,0b100010,345.5331724
35,0b100011,200.8647072
36,0b100100,319.9711301
37,0b100101,191.9503987
38,0b100110,261.7810013
39,0b100111,169.3656735
40,0b101000,291.3149583
41,0b101001,181.2543808
42,0b101010,242.2823533
43,0b101011,160.9835971
44,0b101100,229.4304388
45,0b101101,155.2067966
46,0b101110,197.889527
47,0b101111,140.1007257
48,0b110000,259.9010634
49,0b110001,168.5767762
50,0b110010,220.1516751
51,0b110011,150.9042143
52,0b110100,209.4887185
53,0b110101,145.8167227
54,0b110110,182.8744747
55,0b110111,132.4042274
56,0b111000,196.8133722
57,0b111001,139.5604691
58,0b111010,173.1403698
59,0b111011,127.2255279
60,0b111100,166.4762081
61,0b111101,123.590121
62,0b111110,149.2187805
63,0b111111,113.8178701
64,0b1000000,341.114
65,0b1000001,199.3632931
66,0b1000010,275.7649828
67,0b1000011,175.1106951
68,0b1000100,259.2365972
69,0b1000101,168.2969795
70,0b1000110,219.6747275
71,0b1000111,150.6799679
72,0b1001000,240.1012917
73,0b1001001,160.0177654
74,0b1001010,205.7776677
75,0b1001011,144.0089869
76,0b1001100,196.4320996
77,0b1001101,139.3686481
78,0b1001110,172.8452324
79,0b1001111,127.066097
80,0b1010000,218.3493812
81,0b1010001,150.0552212
82,0b1010010,189.5906754
83,0b1010011,135.8895378
84,0b1010100,181.6291281
85,0b1010101,131.7501867
86,0b1010110,161.2791427
87,0b1010111,120.7025803
88,0b1011000,172.0236655
89,0b1011001,126.6215327
90,0b1011010,153.6603757
91,0b1011011,116.3838713
92,0b1011100,148.388594
93,0b1011101,113.334229
94,0b1011110,134.5212928
95,0b1011111,105.0622718
96,0b1100000,194.8958932
97,0b1100001,138.5935751
98,0b1100010,171.6546828
99,0b1100011,126.4215048
100,0b1100100,165.1022343
101,0b1100101,122.8312535
102,0b1100110,148.1139573
103,0b1100111,113.1739526
104,0b1101000,157.1269142
105,0b1101001,118.3616948
106,0b1101010,141.6633858
107,0b1101011,109.3686946
108,0b1101100,137.1706205
109,0b1101101,106.6713537
110,0b1101110,125.2364497
111,0b1101111,99.31183814
112,0b1110000,147.5102651
113,0b1110001,112.8211479
114,0b1110010,133.7990578
115,0b1110011,104.6212084
116,0b1110100,129.7842025
117,0b1110101,102.1503126
118,0b1110110,119.0504116
119,0b1110111,95.38161997
120,0b1111000,124.8045742
121,0b1111001,99.0400633
122,0b1111010,114.8470632
123,0b1111011,92.66441576
124,0b1111100,111.8764002
125,0b1111101,90.72078047
126,0b1111110,103.8083055
127,0b1111111,85.34216109
128,0b10000000,255.177
129,0b10000001,166.5765562
130,0b10000010,216.7526641
131,0b10000011,149.2993972
132,0b10000100,206.4086899
133,0b10000101,144.3177517
134,0b10000110,180.5229388
135,0b10000111,131.1671607
136,0b10001000,194.0923681
137,0b10001001,138.1867593
138,0b10001010,171.0310644
139,0b10001011,126.0829215
140,0b10001100,164.5252371
141,0b10001101,122.5116037
142,0b10001110,147.6494249
143,0b10001111,112.9025347
144,0b10010000,179.6269528
145,0b10010001,130.6934901
146,0b10010010,159.6985344
147,0b10010011,119.8150706
148,0b10010100,154.0119643
149,0b10010101,116.5854551
150,0b10010110,139.1264278
151,0b10010111,107.8503836
152,0b10011000,147.0495058
153,0b10011001,112.5514176
154,0b10011010,133.4198635
155,0b10011011,104.3892214
156,0b10011100,129.4273931
157,0b10011101,101.9291425
158,0b10011110,118.750113
159,0b10011111,95.18876152
160,0b10100000,163.4461866
161,0b10100001,121.9122833
162,0b10100010,146.779799
163,0b10100011,112.393346
164,0b10100100,141.9621638
165,0b10100101,109.5466908
166,0b10100110,129.2184092
167,0b10100111,101.7994825
168,0b10101000,136.0255645
169,0b10101001,105.9775973
170,0b10101010,124.2812778
171,0b10101011,98.71023746
172,0b10101100,120.8098894
173,0b10101101,96.50772051
174,0b10101110,111.4557197
175,0b10101111,90.44396019
176,0b10110000,128.7586841
177,0b10110001,101.5139414
178,0b10110010,118.186945
179,0b10110011,94.82656014
180,0b10110100,115.043354
181,0b10110101,92.79216042
182,0b10110110,106.5293979
183,0b10110111,87.17272958
184,0b10111000,111.1135302
185,0b10111001,90.21849863
186,0b10111010,103.1511754
187,0b10111011,84.89752596
188,0b10111100,100.7484315
189,0b10111101,83.26318354
190,0b10111110,94.15825434
191,0b10111111,78.71031549
192,0b11000000,145.9764564
193,0b11000001,111.9217104
194,0b11000010,132.5359141
195,0b11000011,103.8473151
196,0b11000100,128.59539
197,0b11000101,101.4124136
198,0b11000110,118.0493504
199,0b11000111,94.73796242
200,0b11001000,123.7048511
201,0b11001001,98.34626234
202,0b11001010,113.9151669
203,0b11001011,92.05679171
204,0b11001100,110.9919041
205,0b11001101,90.1382988
206,0b11001110,103.0463479
207,0b11001111,84.82650359
208,0b11010000,117.6655457
209,0b11010001,94.49061349
210,0b11010010,108.7740464
211,0b11010011,88.67003755
212,0b11010100,106.1055994
213,0b11010101,86.88874431
214,0b11010110,98.82127689
215,0b11010111,81.94252614
216,0b11011000,102.7537793
217,0b11011001,84.62814833
218,0b11011010,95.90755646
219,0b11011011,79.92899527
220,0b11011100,93.82701801
221,0b11011101,78.47871728
222,0b11011110,88.08542547
223,0b11011111,74.42130113
224,0b11100000,110.4997659
225,0b11100001,89.8134471
226,0b11100010,102.6220141
227,0b11100011,84.5387493
228,0b11100100,100.2435748
229,0b11100101,82.9180593
230,0b11100110,93.71714043
231,0b11100111,78.40183252
232,0b11101000,97.24665037
233,0b11101001,80.85690347
234,0b11101010,91.09263847
235,0b11101011,76.55659028
236,0b11101100,89.21371152
237,0b11101101,75.22509288
238,0b11101110,84.00718101
239,0b11101111,71.48912517
240,0b11110000,93.47508645
241,0b11110001,78.23235584
242,0b11110010,87.77517661
243,0b11110011,74.1997194
244,0b11110100,86.02930173
245,0b11110101,72.94827291
246,0b11110110,81.1777169
247,0b11110111,69.42974513
248,0b11111000,83.8126346
249,0b11111001,71.34818972
250,0b11111010,79.20114381
251,0b11111011,67.97875857
252,0b11111100,77.77692335
253,0b11111101,66.92687235
254,0b11111110,73.78990609
255,0b11111111,63.95339566
256,0b100000000,2198.96
257,0b100000001,393.8313911
258,0b100000010,869.9696466
259,0b100000011,309.2277294
260,0b100000100,724.2864486
261,0b100000101,288.5947536
262,0b100000110,481.8408238
263,0b100000111,240.3978248
264,0b100001000,592.3826553
265,0b100001001,265.0765407
266,0b100001010,419.6738044
267,0b100001011,223.853856
268,0b100001100,382.5544724
269,0b100001101,212.8382289
270,0b100001110,302.2324296
271,0b100001111,185.4218032
272,0b100010000,475.509995
273,0b100010001,238.8115328
274,0b100010010,357.4351657
275,0b100010011,204.8295775
276,0b100010100,330.1513352
277,0b100010101,195.5679897
278,0b100010110,268.5559431
279,0b100010111,172.1758283
280,0b100011000,299.72939
281,0b100011001,184.4766558
282,0b100011010,248.0744594
283,0b100011011,163.5203972
284,0b100011100,234.6177778
285,0b100011101,157.5634676
286,0b100011110,201.7366881
287,0b100011111,142.0181441
288,0b100100000,376.7707835
289,0b100100001,211.0358739
290,0b100100010,298.6109898
291,0b100100011,184.0523832
292,0b100100100,279.3263015
293,0b100100101,176.5399694
294,0b100100110,233.9319539
295,0b100100111,157.2538547
296,0b100101000,257.2366311
297,0b100101001,167.4517793
298,0b100101010,218.2369165
299,0b100101011,150.002098
300,0b100101100,207.7542185
301,0b100101101,144.974238
302,0b100101110,181.5513028
303,0b100101111,131.709232
304,0b100110000,232.4295792
305,0b100110001,156.5735289
306,0b100110010,200.1167339
307,0b100110011,141.2134067
308,0b100110100,191.2672289
309,0b100110101,136.748688
310,0b100110110,168.8335857
311,0b100110111,124.8846475
312,0b100111000,180.6451052
313,0b100111001,131.2316454
314,0b100111010,160.5027984
315,0b100111011,120.2672115
316,0b100111100,154.7598373
317,0b100111101,117.013506
318,0b100111110,139.7364342
319,0b100111111,108.2165939
320,0b101000000,295.3047988
321,0b101000001,182.7909975
322,0b101000010,245.03578
323,0b101000011,162.1945862
324,0b101000100,231.8980135
325,0b101000101,156.3321301
326,0b101000110,199.722568
327,0b101000111,141.0170183
328,0b101001000,216.4657109
329,0b101001001,149.1631971
330,0b101001010,188.1689076
331,0b101001011,135.157573
332,0b101001100,180.3238517
333,0b101001101,131.0620227
334,0b101001110,160.2491414
335,0b101001111,120.1247334
336,0b101010000,198.6264394
337,0b101010001,140.4696855
338,0b101010010,174.541958
339,0b101010011,127.9806914
340,0b101010100,167.771575
341,0b101010101,124.3026234
342,0b101010110,150.2586654
343,0b101010111,114.4218768
344,0b101011000,159.54271
345,0b101011001,119.7273378
346,0b101011010,143.6241152
347,0b101011011,110.5336796
348,0b101011100,139.0081488
349,0b101011101,107.7792926
350,0b101011110,126.7663653
351,0b101011111,100.2714843
352,0b101100000,179.0284346
353,0b101100001,130.3763606
354,0b101100010,159.2252777
355,0b101100011,119.5484834
356,0b101100100,153.5717647
357,0b101100101,116.3330307
358,0b101100110,138.7671089
359,0b101100111,107.6343325
360,0b101101000,146.6481551
361,0b101101001,112.3161419
362,0b101101010,133.0893815
363,0b101101011,104.186802
364,0b101101100,129.1163709
365,0b101101101,101.7361425
366,0b101101110,118.4882386
367,0b101101111,95.02042186
368,0b101110000,138.2370693
369,0b101110001,107.3151719
370,0b101110010,126.1248028
371,0b101110011,99.86965151
372,0b101110100,122.5511457
373,0b101110101,97.61568151
374,0b101110110,112.9361161
375,0b101110111,91.41636329
376,0b101111000,118.1015795
377,0b101111001,94.77159774
378,0b101111010,109.1465672
379,0b101111011,88.91742569
380,0b101111100,106.4600371
381,0b101111101,87.12627941
382,0b101111110,99.1286492
383,0b101111111,82.15375432
384,0b110000000,228.6441286
385,0b110000001,154.846554
386,0b110000010,197.304276
387,0b110000011,139.8071281
388,0b110000100,188.6964168
389,0b110000101,135.4295124
390,0b110000110,166.8273031
391,0b110000111,123.783519
392,0b110001000,178.3501939
393,0b110001001,130.0162923
394,0b110001010,158.68856
395,0b110001011,119.2456701
396,0b110001100,153.0724244
397,0b110001101,116.0462681
398,0b110001110,138.3592752
399,0b110001111,107.3888062
400,0b110010000,166.0618224
401,0b110010001,123.3615893
402,0b110010010,148.8857688
403,0b110010011,113.6240212
404,0b110010100,143.93123
405,0b110010101,110.7154911
406,0b110010110,130.8477933
407,0b110010111,102.8080509
408,0b110011000,137.8323406
409,0b110011001,107.0710978
410,0b110011010,125.7878048
411,0b110011011,99.65823689
412,0b110011100,122.2329502
413,0b110011101,97.41369243
414,0b110011110,112.6658364
415,0b110011111,91.23919187
416,0b110100000,152.1379467
417,0b110100001,115.5083959
418,0b110100010,137.5953577
419,0b110100011,106.9280353
420,0b110100100,133.353054
421,0b110100101,104.3483184
422,0b110100110,122.0465373
423,0b110100111,97.29525913
424,0b110101000,128.1013381
425,0b110101001,101.1049052
426,0b110101010,117.6328783
427,0b110101011,94.46954582
428,0b110101100,114.5183044
429,0b110101101,92.45027285
430,0b110101110,106.0790347
431,0b110101111,86.87092979
432,0b110110000,121.6363463
433,0b110110001,97.0343948
434,0b110110010,112.1587758
435,0b110110011,90.90637129
436,0b110110100,109.3238405
437,0b110110101,89.03504166
438,0b110110110,101.6070102
439,0b110110111,83.84873851
440,0b110111000,105.7690178
441,0b110111001,86.66290981
442,0b110111010,98.52925918
443,0b110111011,81.74164174
444,0b110111100,96.33472137
445,0b110111101,80.22546234
446,0b110111110,90.29200067
447,0b110111111,75.99029331
448,0b111000000,136.8891629
449,0b111000001,106.5010655
450,0b111000010,125.0017947
451,0b111000011,99.1642203
452,0b111000100,121.4906077
453,0b111000101,96.94162545
454,0b111000110,112.0348519
455,0b111000111,90.82494437
456,0b111001000,117.1163455
457,0b111001001,94.13611958
458,0b111001010,108.3045462
459,0b111001011,88.35779966
460,0b111001100,105.6588049
461,0b111001101,86.5889043
462,0b111001110,98.4336109
463,0b111001111,81.6757994
464,0b111010000,111.6891026
465,0b111010001,90.59758175
466,0b111010010,103.6470288
467,0b111010011,85.23312886
468,0b111010100,101.2214007
469,0b111010101,83.58596502
470,0b111010110,94.57124454
471,0b111010111,78.99870127
472,0b111011000,98.16661503
473,0b111011001,81.4918895
474,0b111011010,91.89936899
475,0b111011011,77.12559225
476,0b111011100,89.98736381
477,0b111011101,75.77440343
478,0b111011110,84.69282028
479,0b111011111,71.98504899
480,0b111100000,105.2127293
481,0b111100001,86.28908985
482,0b111100010,98.04634501
483,0b111100011,81.40899058
484,0b111100100,95.87302908
485,0b111100101,79.90501286
486,0b111100110,89.88629035
487,0b111100111,75.70272373
488,0b111101000,93.12815737
489,0b111101001,77.98920001
490,0b111101010,87.46919828
491,0b111101011,73.98095029
492,0b111101100,85.73535396
493,0b111101101,72.73681055
494,0b111101110,80.91593795
495,0b111101111,69.23816303
496,0b111110000,89.66359716
497,0b111110001,75.54470344
498,0b111110010,84.40597072
499,0b111110011,71.77771697
500,0b111110100,82.79031906
501,0b111110101,70.60599062
502,0b111110110,78.28761878
503,0b111110111,67.30467402
504,0b111111000,80.73543032
505,0b111111001,69.10595485
506,0b111111010,76.44768574
507,0b111111011,65.94027755
508,0b111111100,75.11994101
509,0b111111101,64.95007187
510,0b111111110,71.39415184
511,0b111111111,62.14597483
512,0b1000000000,3009.44
513,0b1000000001,413.7899679
514,0b1000000010,973.716762
515,0b1000000011,321.3997667
516,0b1000000100,794.7884045
517,0b1000000101,299.1688707
518,0b1000000110,512.058603
519,0b1000000111,247.6903668
520,0b1000001000,638.7224148
521,0b1000001001,273.9709073
522,0b1000001010,442.4132168
523,0b1000001011,230.1640297
524,0b1000001100,401.3591429
525,0b1000001101,218.5347462
526,0b1000001110,313.8496435
527,0b1000001111,189.7304117
528,0b1000010000,504.9147088
529,0b1000010001,246.0067106
530,0b1000010010,373.7985911
531,0b1000010011,210.1001565
